feature,mean_importance
ATS0i,6.174148310316568e-07
ATS6pe,6.249767668959488e-07
NdsN,6.41823182491192e-07
ATS7are,6.721606012229445e-07
ATS0p,6.739678595237692e-07
SLogP_ratio_AATS1se,6.867133957839424e-07
n6AHRing,6.906185898459052e-07
ATS4p,7.10222696211505e-07
MPC3,7.112517354440629e-07
SdssS,7.21900420496465e-07
MWC03,7.42633566110703e-07
ATSC0are,7.430607009109753e-07
n11FARing,7.432717090874453e-07
ATS7se,7.62265624539623e-07
AATS3v,7.947721605697406e-07
ATS3Z,8.003027150932026e-07
C2SP1,8.089565511559642e-07
MATS3m,8.1526022426507e-07
MPC2,8.201441075345733e-07
ATSC6pe,8.364210855224194e-07
AMW,8.385272963168204e-07
SLogP_sum_MZ,8.39203648867002e-07
ATS3p,8.485874705780813e-07
Xc-6dv,8.529933816704693e-07
MIC2,8.57160858061274e-07
JGI7,8.712141156858033e-07
SLogP_sum_nG12AHRing,8.770309096879994e-07
MW,8.815534355295813e-07
nP,9.338265343376839e-07
piPC10,9.340133656900694e-07
PEOE_VSA5,9.419219271839495e-07
SMR_VSA7,1.015889423114716e-06
AATSC4i,1.064986234420532e-06
ATS5dv,1.0870400272474517e-06
GGI2,1.0928911456012554e-06
MATS4dv,1.1471307181081664e-06
ATS5i,1.1683125284217208e-06
AATS3Z,1.2056946746507452e-06
SLogP_sum_MATS2i,1.2201935405781356e-06
ATSC3m,1.2320015815594186e-06
n10FaRing,1.2334067335223465e-06
ATS5se,1.234719953419148e-06
BIC0_diff_SLogP,1.235062259959986e-06
MATS2Z,1.280656178667683e-06
eluent.B.trifluoroacetic,1.3061463384073276e-06
ATSC0d,1.349267724873749e-06
TPP,1.3548767649770518e-06
AATSC2i,1.425440492200565e-06
ATS8pe,1.425445049073673e-06
MATS2i,1.4271388347631558e-06
ATSC1d,1.4292674526706143e-06
Xp-5d,1.4591575222893185e-06
n10FAHRing,1.463453310232999e-06
ATSC7p,1.4677326797508591e-06
ATS6p,1.4836852590812896e-06
AATSC3d,1.4864537326247581e-06
ATS8are,1.4895144173957507e-06
ATS2v,1.4961784455340062e-06
ATS0d,1.5183116861891035e-06
ATS2i,1.5412303489586132e-06
MATS3v,1.5469091768940263e-06
CIC1,1.601661132259822e-06
StN,1.6426905783136803e-06
ATS0v,1.6678327414092372e-06
MWC04,1.6745449949372332e-06
GGI5,1.680628163690679e-06
n6ARing,1.6903769452089254e-06
AATSC0d,1.6903788695320394e-06
ZMIC4,1.7052980601233066e-06
ATSC5v,1.727817099187335e-06
GATS4Z,1.7497464881525634e-06
ATS3d,1.7563486349874389e-06
MIC5,1.7582516537049606e-06
SsF,1.7665576508595244e-06
VSA_EState5,1.7963705028697061e-06
AATSC3Z,1.880278860864372e-06
apol,1.89574387016965e-06
SIC0,1.901904271597518e-06
eluent.B.h2o,1.9043886333940974e-06
Xch-3d,1.907397171977722e-06
Xc-6d,1.91371749642226e-06
MATS4d,1.9149821023804922e-06
ATSC1i,1.9203294495589995e-06
SRW05,1.952975144944597e-06
NaaaC,1.953333020632796e-06
AATSC4d,1.9660827223927716e-06
GATS3dv,1.9770884723281298e-06
SdCH2,1.981813200057671e-06
MWC09,2.006040152941098e-06
AATSC3p,2.008842262456005e-06
EState_VSA5,2.0977144845151645e-06
ATS6v,2.100225263776921e-06
TIC2,2.1263347334523655e-06
n10FRing,2.17751607167584e-06
ATSC2v,2.1971641396151436e-06
TIC3,2.1996675221206027e-06
NsssN,2.2153651805367075e-06
SRW08,2.219360580410241e-06
ATS2p,2.256000535186438e-06
GGI1,2.262050405409024e-06
Xpc-6d,2.265186029494059e-06
AATSC3pe,2.26534906725721e-06
ATSC2p,2.275769589366039e-06
ATS2se,2.2797826227997224e-06
IC1,2.2861216755794624e-06
ATS1p,2.300745341872815e-06
MATS2d,2.315264149566152e-06
nFHRing,2.3377439955177096e-06
ATSC5d,2.3760249570480873e-06
ATS3se,2.3977654500577545e-06
Xpc-5dv,2.4072618398525077e-06
FCSP3,2.41124165494171e-06
MATS1m,2.4229680128135844e-06
n7FARing,2.436092093086213e-06
ATSC3se,2.4401230619572335e-06
SLogP_sum_AATSC2p,2.4442527656553385e-06
nG12FaHRing,2.4612953691459384e-06
ATSC5Z,2.4768420104410127e-06
Xch-3dv,2.484772671968588e-06
SIC4,2.4852336339947765e-06
BIC0,2.504205297306026e-06
ATS1i,2.521566626849988e-06
ATSC0m,2.5686521182526414e-06
ATS7v,2.581209016972938e-06
n7HRing,2.6124219797333746e-06
ATS0pe,2.625857257310734e-06
ATSC8se,2.6342403185760333e-06
NssS,2.6371248325244777e-06
ATSC1p,2.6662694786992907e-06
ATS6i,2.706580198395467e-06
ATS1dv,2.729216412211254e-06
GATS4are,2.744179785088216e-06
Xc-3dv,2.784151974020207e-06
Xp-3d,2.8188847913192956e-06
Xch-7dv,2.821719617094806e-06
AATS1v,2.825683300454896e-06
IC3,2.9241520454538135e-06
GATS3i,2.9265774371318477e-06
BalabanJ,2.937825372553715e-06
GATS1m_diff_SLogP,2.994081418386963e-06
SdO,3.0105105044101776e-06
n7AHRing,3.018436445054694e-06
ATS3m,3.0198518661481327e-06
ATSC4p,3.056589723120489e-06
AATSC4pe,3.0778832098090488e-06
ATS3v,3.0850649506322657e-06
SsOH,3.087344493560209e-06
ATS6Z,3.1043838011667565e-06
Xp-6d,3.1903424949407054e-06
n10FHRing,3.260047259738986e-06
ATSC2se,3.2623379748522413e-06
Xp-5dv,3.2723996153726473e-06
ATS5m,3.28608140299216e-06
AATS0pe,3.2972287466825555e-06
AATSC4m,3.318622213088155e-06
GATS4p,3.35206273749172e-06
ATS6m,3.354496382921429e-06
column.length,3.3929931822615845e-06
AATSC0Z,3.4077271387150144e-06
ATS3pe,3.424839186333493e-06
SlogP_VSA10,3.478299126258473e-06
SLogP_sum_piPC2,3.4828279881085958e-06
GGI9,3.519393882849605e-06
AATSC2p,3.526466632751239e-06
ATS4v,3.532350714360172e-06
GATS1Z_diff_SLogP,3.5618825400649153e-06
AATSC4Z,3.584311422598699e-06
SLogP_ratio_SIC1,3.687737659172855e-06
Mpe,3.7058401977091772e-06
AATSC2pe,3.725401122846913e-06
MATS2p,3.741132050908737e-06
ATS7p,3.752568331182645e-06
ATS8Z,3.7597824229705646e-06
ATS1are,3.787014606281003e-06
ATS1pe,3.792702653383426e-06
ATSC3i,3.8201655501263376e-06
AATS0p,3.832706556382206e-06
MATS4pe,3.8791971766169966e-06
SLogP_sum_AATSC4d,3.890183014820456e-06
Zagreb2,3.907438914112215e-06
Xch-5d,3.9076143532574586e-06
GATS1i,3.924049557062822e-06
AATS0m,3.971706715897357e-06
SLogP_sum_Xc-6d,3.986398513571715e-06
AATSC2are,4.02797795212512e-06
IC5,4.04504195071877e-06
MIC4,4.061762546895848e-06
AATSC4v,4.086328440402846e-06
SlogP_VSA4,4.090772676578706e-06
NsssCH,4.095830743561756e-06
MPC7,4.100507731821541e-06
ATSC4pe,4.109461808622303e-06
MATS2are,4.124089272916631e-06
nBondsS,4.149109948234885e-06
piPC3,4.150446477192878e-06
BIC1,4.158983351487417e-06
AATSC1are,4.16321920538006e-06
ATSC6dv,4.1795585214342115e-06
ATS8se,4.228251410957027e-06
SaaO,4.269486019860096e-06
AATS0v,4.2728467873611075e-06
