Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
100,-1.074,ACE C18 2um,5.47,1.47,1.51,0.38,0.25,0.11,C18,2,TPP,100
55,-0.938,ACE C18-Amide 10 µm,4.17,1.39,2.07,0.26,0.21,0.07,PEG,10,TPP,100
62,-0.949,ACE C18-Amide 3 µm,4.03,1.41,2.07,0.26,0.21,0.08,PEG,3,TPP,100
86,-1.02,ACE C18-Amide 5 µm,4.3,1.41,2.11,0.25,0.2,0.07,PEG,5,TPP,100
1,-0.539,ACE C18-AR 2um,4.35,1.41,1.71,0.75,0.29,0.12,Phenyl,2,TPP,100
302,-2.258,ACE C18-PFP 2um,4.81,1.38,2.98,0.53,0.24,0.11,PFP,2,TPP,100
354,-4.581,ACE CN-ES 2um,2.34,1.3,4.44,0.17,0,0.04,Cyano,2,TPP,100
355,-4.681,ACE CN-ES 3um,2.14,1.3,4.5,0.18,0,0.04,Cyano,3,TPP,100
357,-4.776,ACE CN-ES 5um,2.19,1.3,4.57,0.17,0.22,0.05,Cyano,5,TPP,100
261,-1.946,ACE Super C18 2um,8.1,1.48,1.44,0.42,0.22,0.1,C18,3.5,TPP,90
223,-1.646,ACE Super C18 3um,7.28,1.47,1.42,0.43,0.23,0.11,C18,3,TPP,90
59,-0.945,ACE Ultracore Super phenyl hexyl 2.5um,2.63,1.36,1.11,0.68,0.32,0.09,Phenyl,2.5,SPP,95
71,-0.975,ACE Ultracore Super phenyl hexyl 5um,2.5,1.37,1.1,0.67,0.31,0.09,Phenyl,5,SPP,95
180,-1.417,ACE UltraCore SuperC18 2.5um,6.33,1.49,1.46,0.39,0.32,0.09,C18,2.5,TPP,95
144,-1.258,ACE UltraCore SuperC18 5um,5.61,1.5,1.45,0.4,0.32,0.1,C18,5,TPP,95
6,-0.635,ACME Amide C18,3.44,1.41,1.77,0.29,0.19,0.07,PEG,3,TPP,120
124,-1.17,ACME C18,5.32,1.48,1.3,0.48,0.28,0.13,C18,3,TPP,120
