feature,mean_importance
n7ARing,5.178624967214045e-07
ATSC3Z,5.189817806838803e-07
MATS3pe,5.207165032762758e-07
SlogP_VSA7,5.267153235357335e-07
NaaO,5.277137007520492e-07
n7HRing,5.372987649393709e-07
MPC6,5.723334368952677e-07
MWC10,6.001548875191227e-07
MIC0,6.032665973152926e-07
GATS2v,6.054524283490882e-07
ATS1v,6.155058951744404e-07
ATS6se,6.222259984557492e-07
Xch-7d,6.441586850315997e-07
n5aRing,6.540930405357117e-07
nBridgehead,6.574497516302104e-07
n10FRing,6.665700805230136e-07
SMR_VSA6,6.745442124039477e-07
JGI9,6.760148832374996e-07
ATS2m,6.972729258782756e-07
nG12FRing,7.086644693707172e-07
ion exchange capacity pH 2.7,7.251679770278914e-07
TMWC10,7.324318105730518e-07
nBondsKS,7.38325973196393e-07
ATS8dv,7.438990144723392e-07
Xp-3dv,7.442503152837836e-07
StsC,7.556855695445633e-07
ATSC2p,7.634627264129814e-07
ATS0are,7.772705649214916e-07
MATS1p,7.814161603458131e-07
ATSC8d,7.912426801650121e-07
Sare,8.052980192164994e-07
NsssN,8.160871107993142e-07
fragCpx,8.184483220487551e-07
nG12FARing,8.23774250558601e-07
AXp-1dv,8.323409654373108e-07
NssssC,8.333986750414142e-07
nO,8.556168309559707e-07
Xch-3d,8.627179512301491e-07
NssCH2,8.861928889799045e-07
AATS2dv,8.89443464077884e-07
ATS4i,9.190804430743438e-07
ATS2v,9.261707563588441e-07
SddsN,9.460268648562794e-07
GATS4i,9.597189897412109e-07
nAHRing,9.854022476673414e-07
ATSC6se,9.865028461183457e-07
SsNH2,9.913408472951927e-07
Xp-5d,9.994182190028838e-07
Mpe,1.0001740763521636e-06
nAromBond,1.003294777448486e-06
Mse,1.0102339372276488e-06
NsssCH,1.0316910450962683e-06
AATSC2m,1.0453471004885812e-06
naRing,1.0674629513976116e-06
SsOH,1.0770165765538672e-06
n7Ring,1.0818061973881e-06
ATS8se,1.097108839287226e-06
AATS0p,1.1017098623785671e-06
Xpc-5d,1.1211991130600021e-06
AATSC2p,1.124689648882276e-06
ATS2Z,1.1281567725860385e-06
ATSC2se,1.1478400581816512e-06
Mm,1.1564638651979757e-06
TPP,1.1685459727369015e-06
SdssS,1.1737289003328593e-06
Xp-2dv,1.1914065270104448e-06
AATS0se,1.2057677652599178e-06
NdsCH,1.2112541708351674e-06
GATS1d,1.223587009931658e-06
ATS7p,1.226995330922461e-06
Xch-3dv,1.2303500329742881e-06
ATS3se,1.2458661074206575e-06
BIC5,1.2727101570883352e-06
ATS5pe,1.274822935928583e-06
C3SP3,1.2816158708005634e-06
MATS3p,1.289621686255231e-06
ATS4m,1.3028309108077674e-06
Mv,1.3138049344705617e-06
CIC5,1.3222161787885405e-06
MATS2pe,1.3242921396968387e-06
SdsCH,1.3342411749581e-06
ATS8pe,1.3373266451578366e-06
ATS4v,1.3419888321254854e-06
n5aHRing,1.3515579390750189e-06
AATSC0dv,1.3731318051684282e-06
ATS2p,1.375383901809895e-06
AATSC3se,1.3981328035520337e-06
Sp,1.4004621165822523e-06
AATS0v,1.4021617570720602e-06
AMW,1.4259203411077885e-06
AATSC4m,1.4752531192543765e-06
ATSC7Z,1.5187567117881141e-06
SsF,1.5199523175916246e-06
ATSC7are,1.5200416221663842e-06
ATSC3se,1.5265072050620228e-06
AATS2Z,1.5422385575200418e-06
ATS3Z,1.553121914233107e-06
ATSC2pe,1.5978297453207724e-06
nAromAtom,1.6072808014411244e-06
MATS2v,1.6092291429404584e-06
AATSC4se,1.613406964657508e-06
nS,1.6247502695834228e-06
MATS1Z,1.6955651297740487e-06
ATS0pe,1.6955889020736289e-06
piPC5,1.7028868483663987e-06
AATS4are,1.7379838861179831e-06
SMR,1.7676288998626568e-06
SRW09,1.7878403175861437e-06
Xc-3dv,1.795294496473917e-06
ATS6d,1.8011961869327312e-06
AATS2v,1.831218166355869e-06
GATS3i,1.8517498930934773e-06
GATS2m,1.875287554343151e-06
TIC0,1.882434125098035e-06
MWC09,1.8982153655962807e-06
ATS7i,1.923821810622013e-06
nX,1.9305181825218787e-06
GATS2i,1.94758550310873e-06
NaaCH,1.9627510405473454e-06
n10FaRing,1.9805167024111898e-06
ATSC3p,1.9852547591308994e-06
AATS4m,2.0016450210857614e-06
AATS3dv,2.001973869291372e-06
ATSC2are,2.0126731225587545e-06
piPC2,2.0341279173531624e-06
Lipinski,2.0394927795003117e-06
nFAHRing,2.0401643095083015e-06
BertzCT,2.0559190806509337e-06
ATS1d,2.062467616706365e-06
C3SP2,2.0819562234240982e-06
ATSC5pe,2.0851292028561606e-06
ATSC8pe,2.0899422360400566e-06
ATS6p,2.0983131280814804e-06
ATS5se,2.1104986792910493e-06
Xp-2d,2.111013019336604e-06
IC1,2.135638579430551e-06
MPC7,2.14042416461311e-06
AATS1p,2.1457119041879554e-06
AATSC3d,2.155734226387887e-06
eluent.A.meoh,2.1838309896435488e-06
ATS2pe,2.1846599567653184e-06
GGI2,2.2393639678435114e-06
EState_VSA8,2.242987848680416e-06
TMPC10,2.259469829908774e-06
ATS3are,2.266934356858364e-06
ATS0m,2.288214722358153e-06
ATS6are,2.3137181800630437e-06
Xp-4d,2.326573369714358e-06
ATSC0i,2.3303863609589783e-06
ATS3i,2.3414784707314134e-06
EState_VSA7,2.3460925575690197e-06
AXp-2dv,2.3638864003389103e-06
MIC2,2.375061914335931e-06
ATSC0pe,2.4007566088682377e-06
ATS8p,2.413254663020253e-06
SRW06,2.415877750417284e-06
Xch-5d,2.41892606376512e-06
GATS4d,2.4249355886321773e-06
SMR_VSA5,2.4265732961143044e-06
CIC1,2.435206010112639e-06
MATS3Z,2.460696877408259e-06
ATSC4m,2.4838020508938415e-06
MATS3i,2.532332853245195e-06
eluent.B.nh4ac,2.551757459357245e-06
NdssS,2.552990527336131e-06
nBondsM,2.5878879780787296e-06
MPC8,2.5879443563673122e-06
AATSC1dv,2.6170836076117033e-06
GATS3Z,2.641199293600561e-06
AATS3d,2.6547871549945956e-06
Xp-5dv,2.7010883381898935e-06
AATSC1d,2.7195655342451134e-06
piPC1,2.77452816285443e-06
ATSC2v,2.7767568119054125e-06
AATSC0are,2.794262460461411e-06
AATSC1p,2.8126339665312215e-06
NsCH3,2.8260160554297727e-06
ATS4se,2.838070218986674e-06
MATS2p,2.853661104233046e-06
ATS5i,2.8564524047050565e-06
AATSC4dv,2.858237210641261e-06
AATSC3i,2.8845870218742986e-06
AATSC2dv,2.9071533449842765e-06
Xch-7dv,2.9236009944991204e-06
SIC5,2.933404655249775e-06
MATS1v,3.0242725774848844e-06
JGI8,3.0549959437586177e-06
piPC9,3.0671376335208133e-06
EState_VSA3,3.0904121504573765e-06
nBondsS,3.1168889860294647e-06
BIC1,3.1365062045796666e-06
AATS1v,3.151509346846406e-06
ATS1dv,3.1869089282832335e-06
NssO,3.2061562338526334e-06
MATS2Z,3.2970725254365467e-06
SsssCH,3.3050581294007465e-06
MPC9,3.3199088541518115e-06
AATSC0pe,3.3261342349028174e-06
SdsssP,3.3910295994757192e-06
CIC4,3.403778323561677e-06
AATS3se,3.461786456732292e-06
ATSC5se,3.462842208036814e-06
ATS2i,3.4837752081273364e-06
MATS2dv,3.512837937863847e-06
VMcGowan,3.5166402999248224e-06
Xc-5d,3.5530529571991923e-06
n11FARing,3.578161477547394e-06
SMR_VSA1,3.638604777345383e-06
TopoShapeIndex,3.6707830576531568e-06
ATSC8m,3.688549439729693e-06
SlogP_VSA10,3.702946792546492e-06
AATS4v,3.719509903808184e-06
AATSC3pe,3.753234710280641e-06
ATS5p,3.7855168785612055e-06
MATS4m,3.7932359789868106e-06
GATS3pe,3.831312283202222e-06
GATS2are,3.840187321183658e-06
piPC8,3.8514486952391515e-06
ATS8m,3.933018364897164e-06
GATS1v,3.9421980075048446e-06
Xp-7dv,3.960571000193383e-06
Xp-6d,4.020999065603055e-06
AATSC3are,4.0360362917631416e-06
piPC6,4.037309053185438e-06
SaaCH,4.055148237977479e-06
AATSC3dv,4.099644862461463e-06
GATS2pe,4.118809769802865e-06
ATS3d,4.134478074053691e-06
nHetero,4.148146785757072e-06
ATSC6v,4.1719886698332775e-06
ATSC4i,4.289211488925013e-06
GATS3m,4.295910178575124e-06
Xch-6d,4.297061815649629e-06
PEOE_VSA5,4.335976735532314e-06
AATS2i,4.349996063807409e-06
ATSC3dv,4.350015053515479e-06
PEOE_VSA3,4.3840875323333635e-06
AATS1se,4.415286616873439e-06
ATS7m,4.41917982447913e-06
AATS1are,4.446976682435065e-06
GGI4,4.488903985903816e-06
piPC3,4.523465458113399e-06
PEOE_VSA7,4.583778674896802e-06
nBondsKD,4.587642769508793e-06
ATSC1m,4.618364779237876e-06
eluent.A.nh4form,4.6249620492338875e-06
JGI2,4.710524894618873e-06
EState_VSA1,4.723891639601182e-06
AATSC2i,4.733491784907756e-06
SlogP_VSA11,4.810505312212183e-06
ATSC8se,4.951628396351014e-06
AATSC2pe,4.977017087898824e-06
AATS0pe,4.984198880508568e-06
ATSC3are,5.018211786515271e-06
ATSC5are,5.040132733812475e-06
ATS0dv,5.1094162577017614e-06
AATS0are,5.1239183109536015e-06
ATSC8i,5.1254085127033605e-06
ATSC5v,5.129260819003358e-06
AATS2pe,5.225681986285868e-06
PEOE_VSA4,5.250902045216954e-06
ATSC1v,5.255184909472473e-06
AATSC1i,5.29773681872299e-06
