feature,mean_importance
MWC03_sum_SLogP,9.461368546054456e-07
ABCGG,9.577707761864936e-07
SLogP_sum_AATSC4d,9.64111748676024e-07
Sp,9.698216203560955e-07
AATS1m,9.740905827107168e-07
MATS3p,9.795516690857577e-07
eluent.B.nh4ac,9.827741431185122e-07
ATSC2m,9.868562498214356e-07
Xp-2d,1.0057537572788314e-06
MATS2pe,1.0107603418225627e-06
ATS7pe,1.0154338312589814e-06
SLogP_sum_MATS2v,1.036480761823673e-06
SsF,1.0446009278248201e-06
MATS1p,1.0522410154571552e-06
GGI2,1.0650102827431535e-06
Xpc-5dv,1.0796117745653055e-06
ATS8d,1.084459019185576e-06
AATS0i,1.0969977375656532e-06
MATS2p,1.106256680062298e-06
SMR,1.1243767513444483e-06
SLogP_ratio_MWC05,1.1259807308943229e-06
mZagreb2,1.1332328116789997e-06
SLogP_sum_MATS3d,1.1373584665168995e-06
ATS4pe,1.138330887614971e-06
nFARing,1.1432606024610292e-06
ATS0se,1.1541311964436383e-06
GATS4se,1.155419830387635e-06
ATSC0d,1.157757656193581e-06
TIC3,1.1944361936249043e-06
n5Ring,1.1967438795267363e-06
SLogP_sum_Xc-6d,1.1975199543805098e-06
ATS3dv,1.2338456532155587e-06
MATS2are,1.2413951766499995e-06
SLogP_sum_MATS2i,1.2591428426160165e-06
AATS1Z,1.2684884460750084e-06
ATSC0pe,1.279558628298691e-06
ATS8are,1.28707274494504e-06
ATSC4i,1.293481807348399e-06
column.length,1.3231421557916012e-06
ATSC7pe,1.330145295042398e-06
GATS2i,1.3484054093890197e-06
EState_VSA10,1.3500892548498275e-06
AATSC0se,1.3503920358038692e-06
nG12FARing,1.3614441942619987e-06
ATS5Z,1.3692660010227072e-06
GGI1,1.3731761349305115e-06
ATSC3v,1.3960954031576322e-06
ATSC0p,1.408407801278995e-06
apol,1.4089449832317344e-06
ATSC1v,1.4222866063228443e-06
nH,1.463463619249747e-06
nBondsKD,1.4770775519575527e-06
Xc-6dv,1.4911143602865106e-06
AATS3pe,1.506185156883999e-06
SdsCH,1.5193895634217982e-06
ATS6se,1.5284307906602081e-06
NdsCH,1.5515759594660407e-06
MPC3,1.557305124824833e-06
ATS2are,1.5605763776949805e-06
n10FHRing,1.5887583980305972e-06
Xch-7dv,1.6102584000993874e-06
SIC1,1.6118382121621533e-06
AATS3are,1.6224235740852633e-06
SLogP_sum_GATS4dv,1.6781758009513232e-06
SRW10,1.6839361448933548e-06
Xc-5d,1.6840498981670824e-06
NsssCH,1.6890455924238774e-06
TIC0,1.7076509657404371e-06
n9FRing,1.7198780909885753e-06
n6aRing,1.7288252778014517e-06
ATS1se,1.7309165035771581e-06
C2SP3,1.738080878534165e-06
ATS1are,1.7383368519423465e-06
ATS3se,1.7417268295614499e-06
MATS1m,1.7789209858418663e-06
NssS,1.8201734559559687e-06
ATSC6are,1.834086553895945e-06
AATSC2dv,1.8503118691309827e-06
nBondsS,1.861238418672962e-06
Xp-3d,1.8753112911972133e-06
GATS3are,1.8759533458939486e-06
n7HRing,1.8824994201117884e-06
ZMIC0,1.882557255898816e-06
NaaN,1.884813519246499e-06
GATS2are,1.893440399038191e-06
AATS2pe,1.9047988381131615e-06
AATSC1m,1.908489255253616e-06
SdCH2,1.915821436584801e-06
AATSC0pe,1.916850303081575e-06
nHetero,1.9351160142440024e-06
AATSC3are,1.9396967276413995e-06
nAHRing,1.9452949076875782e-06
ATS4p,1.9559542025841466e-06
MWC10,1.959097145968775e-06
ATSC6p,1.9692953118368927e-06
BIC3,1.973047084377795e-06
ATSC6dv,1.98111099655807e-06
TIC5,1.9906388836431027e-06
Xch-7d,2.001890078310621e-06
JGI1,2.011073134584873e-06
ATSC2v,2.0520294734676334e-06
SsssCH,2.0576604502699216e-06
Kier2,2.071220302063241e-06
SlogP_VSA11,2.1034140160739422e-06
nG12FRing,2.1435280634741345e-06
MPC7,2.187172227541539e-06
ATS5v,2.188678388954056e-06
TopoPSA(NO),2.2252907874035013e-06
NsOH,2.246426418258795e-06
AATSC2pe,2.249696343697722e-06
AATS0p,2.2555533337243784e-06
ATSC4se,2.260189912691151e-06
ATS8dv,2.281293436533303e-06
SRW09,2.2913814217676194e-06
nO,2.302780030641414e-06
NaasC,2.3415297242883675e-06
GATS4dv,2.3549821272805284e-06
MPC6,2.375647905265496e-06
ATSC7d,2.385056949757731e-06
ATSC8se,2.3866416464124464e-06
ATS5pe,2.3996502126004925e-06
GATS1i,2.425076861690273e-06
LabuteASA,2.4474319729936992e-06
n5AHRing,2.465656070149789e-06
ATS1Z,2.4888938449936502e-06
ATS8p,2.4983154814749687e-06
AATSC0i,2.5017809288672976e-06
MIC5,2.50822285598664e-06
AATSC3v,2.519881660913593e-06
ATSC8v,2.5227708494159235e-06
AATSC3pe,2.5267296743839394e-06
ATS7are,2.5371431962471594e-06
MIC2,2.572456983315416e-06
Xc-3d,2.6147515847436615e-06
nC,2.628722455140682e-06
ATS4i,2.6343571102144596e-06
PEOE_VSA11,2.6845498605928412e-06
MATS3d,2.6913811075307546e-06
ATS2d,2.6961457079479995e-06
ATS6dv,2.7085131212960245e-06
